,Unnamed: 0,hotel_name,stars,price,price_for_period,nights_for_price,package,takeoff_airport,link_on_fibula,title_on_trip_advisor,number_bubbles,number_reviews,link
0,0,Sea Garden,2 ѕвезди,€ 958,21 јул. 2023,6 ноќи,Ноќевање со појадок,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sea-garden--41504#departure=2023-07-21&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-21&v=1",Sea Garden Hotel,3 of 5 bubbles,162 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d610839-Reviews-Sea_Garden_Hotel-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
1,1,Viva Blue Resort & diving sports,4 ѕвезди,€ 1.001,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/viva-blue-resort-and-diving-sports--1612869#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1",Viva Blue Resort & Diving Sports,4 of 5 bubbles,143 reviews,https://www.tripadvisor.com/Hotel_Review-g488095-d7002488-Reviews-Viva_Blue_Resort_Diving_Sports-Soma_Bay_Red_Sea_and_Sinai.html#REVIEWS
2,2,Labranda Lemon & Soul Makadi Bay,3 ѕвезди,€ 1.013,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/labranda-lemon-and-soul-makadi-bay--214276#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1",Lemon and Soul Makadi Garden,4.5 of 5 bubbles,"1,437 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d6463385-Reviews-Lemon_and_Soul_Makadi_Garden-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
3,3,Magic Beach,4 ѕвезди,€ 1.028,15 септ. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/magic-beach--297669#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Magic Tulip Beach Resort,4 of 5 bubbles,"3,157 reviews",https://www.tripadvisor.com/Hotel_Review-g311425-d609320-Reviews-Magic_Tulip_Beach_Resort-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
4,4,Zahabia Hotel & Beach Resort,2 ѕвезди,€ 1.037,22 септ. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/zahabia-hotel-and-beach-resort--233367#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Zahabia Hotel & Beach Resort,4 of 5 bubbles,56 reviews,https://www.tripadvisor.com/Hotel_Review-g23408135-d23450372-Reviews-Zahabia_Hotel_Beach_Resort-Second_Hurghada_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
5,5,King Tut Resort,3 ѕвезди,€ 1.040,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/king-tut-resort--712379#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",King Tut Aqua Park Beach Resort,3.5 of 5 bubbles,609 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d596365-Reviews-King_Tut_Aqua_Park_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
6,6,Minamark Resort,4 ѕвезди,€ 1.040,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/minamark-resort--922189#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Minamark Beach Resort,4.5 of 5 bubbles,"3,929 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d613411-Reviews-Minamark_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
7,7,Balina Paradise Abu Soma Resort,4 ѕвезди,€ 1.052,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/balina-paradise-abu-soma-resort--147434#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1",Balina Paradise Abu Soma Resort,4.5 of 5 bubbles,796 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d302297-Reviews-Balina_Paradise_Abu_Soma_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
8,8,Royal Star Beach Resort,4 ѕвезди,€ 1.052,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/royal-star-beach-resort--671704#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Royal Star Beach Resort,4.5 of 5 bubbles,"2,437 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d6164318-Reviews-Royal_Star_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
9,9,Mirage Bay Resort & Aqua Park,"3,5 ѕвезди",€ 1.066,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/mirage-bay-resort-and-aqua-park--238494#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Mirage Bay Resort & Aquapark,4 of 5 bubbles,885 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d638104-Reviews-Mirage_Bay_Resort_Aquapark-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
10,10,Pyramisa Isis Hotel & Suites Luxor,4 ѕвезди,€ 1.066,18 јул. 2023,6 ноќи,Само сместување,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/nile/luxor/pyramisa-isis-hotel-and-suites-luxor--313436#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1",Pyramisa Isis Corniche Hotel,3.5 of 5 bubbles,558 reviews,https://www.tripadvisor.com/Hotel_Review-g294204-d317250-Reviews-Pyramisa_Isis_Corniche_Hotel-Aswan_Aswan_Governorate_Nile_River_Valley.html#REVIEWS
11,11,Lotus Bay Resort,4 ѕвезди,€ 1.066,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/lotus-bay-resort--339780#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1",Lotus Bay Hotel,3.5 of 5 bubbles,340 reviews,https://www.tripadvisor.com/Hotel_Review-g297553-d463461-Reviews-Lotus_Bay_Hotel-Safaga_Red_Sea_and_Sinai.html#REVIEWS
12,12,Sphinx Aqua Park Beach Resort,"3,5 ѕвезди",€ 1.066,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sphinx-aqua-park-beach-resort--737819#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Sphinx Aqua Park Beach Resort,3.5 of 5 bubbles,344 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d1823426-Reviews-Sphinx_Aqua_Park_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
13,13,Le Pacha Resort,3 ѕвезди,€ 1.078,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/le-pacha-resort--140374#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Le Pacha Resort,3.5 of 5 bubbles,546 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d737017-Reviews-Le_Pacha_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
14,14,Blend Elphistone Resort,"4,5 ѕвезди",€ 1.087,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/blend-elphistone-resort--164993#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Blend Elphistone Resort,4 of 5 bubbles,"2,664 reviews",https://www.tripadvisor.com/Hotel_Review-g311425-d547058-Reviews-Blend_Elphistone_Resort-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
15,15,Bella Vista,4 ѕвезди,€ 1.098,01 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/bella-vista--297999#departure=2023-08-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-01&v=1",Bella Vista Resort Hurghada,4 of 5 bubbles,"1,904 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d1129935-Reviews-Bella_Vista_Resort_Hurghada-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
16,16,Marlin Inn Azur Resort,"3,5 ѕвезди",€ 1.113,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/marlin-inn-azur-resort--366822#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Marlin Inn Azur Resort,4 of 5 bubbles,814 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d463463-Reviews-Marlin_Inn_Azur_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
17,17,TIA Heights Makadi Bay,5 ѕвезди,€ 1.113,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/tia-heights-makadi-bay--415688#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Tia Heights Makadi Bay,3.5 of 5 bubbles,"2,729 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d302607-Reviews-Tia_Heights_Makadi_Bay-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
18,18,Pharaoh Azur Resort,5 ѕвезди,€ 1.113,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/pharaoh-azur-resort--678792#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Pharaoh Azur Resort,4.5 of 5 bubbles,"1,307 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d13532217-Reviews-Pharaoh_Azur_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
19,19,The Three Corners Equinox Beach Resort,4 ѕвезди,€ 1.113,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/the-three-corners-equinox-beach-resort--736023#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1",The Three Corners Equinox Beach Resort,4.5 of 5 bubbles,"3,125 reviews",https://www.tripadvisor.com/Hotel_Review-g311425-d7186223-Reviews-The_Three_Corners_Equinox_Beach_Resort-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
20,20,Seagull Beach Resort,4 ѕвезди,€ 1.124,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/seagull-beach-resort--24953#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",SeaGull Beach Resort,4 of 5 bubbles,"3,296 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d302797-Reviews-SeaGull_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
21,21,Sunny Days Resort - Mirette Resort & SPA,3 ѕвезди,€ 1.136,21 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-mirette-resort-and-spa--911112#departure=2023-07-21&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-21&v=1",Sunny Days Mirette Family Resort & SPA,3.5 of 5 bubbles,97 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d3747920-Reviews-Sunny_Days_Mirette_Family_Resort_SPA-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
22,22,Flamenco Beach & Resort Quseir,3 ѕвезди,€ 1.138,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-qoseir/flamenco-beach-and-resort-quseir--488166#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Flamenco Beach & Resort,4 of 5 bubbles,955 reviews,https://www.tripadvisor.com/Hotel_Review-g488096-d504771-Reviews-Flamenco_Beach_Resort-El_Quseir_Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
